Location,Treatment,Treatment_Value,Age,Gender/Race,Outcome,Outcome_Value
NA,Vegetables,52.13299825796877,65PLUS,FEMALE,Depression,57.34629808376565
NA,Vegetables,49.495832590780196,65PLUS,HIS,Depression,54.44541584985822
NA,Vegetables,48.94580461297627,65PLUS,NAA,Depression,53.8403850742739
NA,Vegetables,67.04063035182713,5064,OVERALL,Depression,73.74469338700985
NA,Vegetables,52.18546870612498,5064,OVERALL,Depression,57.40401557673748
NA,Vegetables,29.34029553687795,AGE_OVERALL,WHT,Depression,32.274325090565746
NA,Vegetables,54.03352941637922,AGE_OVERALL,OVERALL,Depression,59.436882358017144
NA,Vegetables,35.78907862481087,5064,HIS,Depression,39.36798648729196
NA,Vegetables,55.26078987752354,65PLUS,HIS,Depression,60.7868688652759
NA,Vegetables,64.71655531986092,65PLUS,NAA,Depression,71.18821085184702
NA,Vegetables,63.4895326182064,65PLUS,OVERALL,Depression,69.83848588002704
NA,Vegetables,55.68922132752951,65PLUS,WHT,Depression,61.25814346028246
NA,Vegetables,45.94624936412164,65PLUS,OVERALL,Depression,50.54087430053381
NA,Vegetables,52.519360862036535,5064,FEMALE,Depression,57.77129694824019
NA,Vegetables,76.53867422525332,5064,WHT,Depression,84.19254164777865
NA,Vegetables,62.12213636123296,AGE_OVERALL,MALE,Depression,68.33434999735626
NA,Vegetables,52.15322365722873,5064,HIS,Depression,57.368546022951605
NA,Vegetables,57.05585941049331,5064,BLK,Depression,62.76144535154265
NA,Vegetables,29.268251359930986,AGE_OVERALL,NAA,Depression,32.195076495924084
NA,Vegetables,55.63169991932973,65PLUS,NAA,Depression,61.194869911262714
NA,Vegetables,54.54158958554257,5064,OVERALL,Depression,59.99574854409683
NA,Vegetables,51.83210483493839,65PLUS,NAA,Depression,57.015315318432236
NA,Vegetables,45.652558896813204,65PLUS,OVERALL,Depression,50.21781478649453
NA,Vegetables,60.63908508421788,65PLUS,OVERALL,Depression,66.70299359263967
NA,Vegetables,62.52832651063729,AGE_OVERALL,BLK,Depression,68.78115916170103
NA,Vegetables,43.93944843571339,AGE_OVERALL,MALE,Depression,48.33339327928473
NA,Vegetables,51.6541745396596,5064,WHT,Depression,56.819591993625565
NA,Vegetables,47.74855362423653,5064,FEMALE,Depression,52.523408986660186
NA,Vegetables,63.26778285888835,AGE_OVERALL,WHT,Depression,69.59456114477719
NA,Vegetables,56.051869266827055,AGE_OVERALL,OVERALL,Depression,61.65705619350977
NA,Vegetables,37.76829761216131,AGE_OVERALL,BLK,Depression,41.54512737337745
NA,Vegetables,45.6599817151028,5064,OVERALL,Depression,50.22597988661309
NA,Vegetables,58.181190245165894,5064,ASN,Depression,63.99930926968249
NA,Vegetables,43.81894829433265,AGE_OVERALL,BLK,Depression,48.20084312376592
NA,Vegetables,37.94675919563546,5064,OVERALL,Depression,41.74143511519901
NA,Vegetables,44.47895760379216,65PLUS,BLK,Depression,48.92685336417138
NA,Vegetables,75.95190271656773,65PLUS,MALE,Depression,83.5470929882245
NA,Vegetables,44.8260418525423,65PLUS,MALE,Depression,49.308646037796535
NA,Vegetables,41.61487450343629,5064,ASN,Depression,45.776361953779926
