Location,Treatment,Age,Gender/Race,Outcome,Treatment_Value,Outcome_Value
NA,Vegetables,5064,OVERALL,Depression,65.24128122295795,63.300133652334786
NA,Vegetables,5064,BLK,Depression,36.09722457856473,51.473463923512575
NA,Vegetables,65PLUS,OVERALL,Depression,26.24505248467769,27.52542966627742
NA,Vegetables,AGE_OVERALL,FEMALE,Depression,54.6695537690122,57.83303443925107
NA,Vegetables,5064,HIS,Depression,11.757734082785902,29.31578498402656
NA,Vegetables,AGE_OVERALL,MALE,Depression,48.395559409084086,45.44628586637896
NA,Vegetables,AGE_OVERALL,FEMALE,Depression,59.64404769042492,61.72721260272331
NA,Vegetables,65PLUS,ASN,Depression,56.89597247879215,88.18377788192437
NA,Vegetables,65PLUS,NAA,Depression,45.10531010561351,52.46236449175115
NA,Vegetables,5064,ASN,Depression,60.3238796431739,86.07363412468838
NA,Vegetables,65PLUS,BLK,Depression,40.38009553613135,60.89797707482174
NA,Vegetables,5064,OVERALL,Depression,33.510345762807276,27.657209826778775
NA,Vegetables,AGE_OVERALL,ASN,Depression,77.80409918286784,100.95363539231657
NA,Vegetables,5064,MALE,Depression,70.15505583707981,77.50273880090343
NA,Vegetables,5064,HIS,Depression,80.42238726863458,104.0675615383298
NA,Vegetables,65PLUS,ASN,Depression,18.102042054346715,47.57293430748451
NA,Vegetables,65PLUS,BLK,Depression,14.9133051405462,35.38997755384549
NA,Vegetables,AGE_OVERALL,ASN,Depression,70.28913602528436,90.43405798228508
NA,Vegetables,AGE_OVERALL,ASN,Depression,23.710660460520582,40.376150078567406
NA,Vegetables,65PLUS,WHT,Depression,67.4244963125372,88.8507991875215
NA,Vegetables,5064,NAA,Depression,64.56830916491533,66.0428340165766
NA,Vegetables,65PLUS,BLK,Depression,40.92767295388636,62.3727884940483
NA,Vegetables,AGE_OVERALL,FEMALE,Depression,55.25791485895016,58.87960550756395
NA,Vegetables,AGE_OVERALL,ASN,Depression,38.49023622545447,55.45855696306849
NA,Vegetables,AGE_OVERALL,ASN,Depression,17.114994625272892,32.954230327230654
NA,Vegetables,5064,WHT,Depression,66.67754414778615,80.90410886437333
NA,Vegetables,5064,WHT,Depression,68.81340403038193,82.0897837852848
NA,Vegetables,AGE_OVERALL,ASN,Depression,30.534178492861283,46.495853722048395
NA,Vegetables,5064,OVERALL,Depression,76.31791997408625,74.95221242831441
NA,Vegetables,65PLUS,BLK,Depression,32.35989841050799,51.7968761039854
NA,Vegetables,65PLUS,OVERALL,Depression,62.68982057842962,66.04808954070504
NA,Vegetables,65PLUS,MALE,Depression,89.62518515002836,103.9619081906524
NA,Vegetables,5064,NAA,Depression,40.12167905597063,39.488623139501854
NA,Vegetables,5064,WHT,Depression,67.9755649534554,80.5482050328301
NA,Vegetables,AGE_OVERALL,NAA,Depression,33.144018040796894,25.85327665534429
NA,Vegetables,5064,OVERALL,Depression,86.24707011189214,86.19772982781024
NA,Vegetables,65PLUS,MALE,Depression,30.248804827941626,38.35229772631753
NA,Vegetables,65PLUS,HIS,Depression,5.484061152036567,28.27839818563436
NA,Vegetables,65PLUS,ASN,Depression,39.23474779335827,68.55643466480934
NA,Vegetables,65PLUS,FEMALE,Depression,65.67594349927619,81.8872873123905
NA,Vegetables,AGE_OVERALL,NAA,Depression,90.97427301058268,91.2591209201807
NA,Vegetables,65PLUS,HIS,Depression,60.51709009331844,89.08767121700255
NA,Vegetables,5064,MALE,Depression,33.05141919885714,35.55437765809625
NA,Vegetables,AGE_OVERALL,NAA,Depression,70.97138519394181,66.22766563205577
NA,Vegetables,65PLUS,OVERALL,Depression,61.0348447119225,63.954474149086906
NA,Vegetables,5064,NAA,Depression,64.99439524903738,66.7659805444109
NA,Vegetables,AGE_OVERALL,FEMALE,Depression,99.2975582336174,106.19941779992767
NA,Vegetables,65PLUS,OVERALL,Depression,76.64655184790149,81.71964831075722
NA,Vegetables,5064,HIS,Depression,42.9029577262647,63.35078596398537
NA,Vegetables,AGE_OVERALL,MALE,Depression,62.82210537980046,61.60468782890655
NA,Vegetables,AGE_OVERALL,HIS,Depression,59.712199603863986,74.4482357071765
NA,Vegetables,65PLUS,NAA,Depression,82.82323760132337,93.08763409220167
NA,Vegetables,5064,OVERALL,Depression,38.62419166462503,33.05264770080993
NA,Vegetables,65PLUS,NAA,Depression,48.63245368737705,55.828793381794405
NA,Vegetables,5064,FEMALE,Depression,54.815749034475175,64.65115540448036
NA,Vegetables,65PLUS,WHT,Depression,5.099338352147079,19.33860726135724
NA,Vegetables,5064,NAA,Depression,57.388683213333785,59.51492116464038
NA,Vegetables,65PLUS,WHT,Depression,67.38030492394984,87.5767779861439
NA,Vegetables,AGE_OVERALL,NAA,Depression,48.91419963155571,42.2433388096274
NA,Vegetables,65PLUS,OVERALL,Depression,79.55105497043539,86.504921989847
NA,Vegetables,5064,OVERALL,Depression,34.96569576477191,29.465385390079362
NA,Vegetables,AGE_OVERALL,HIS,Depression,20.27388318793784,33.722532865168944
NA,Vegetables,65PLUS,FEMALE,Depression,49.475699493428145,63.91341113627435
NA,Vegetables,AGE_OVERALL,MALE,Depression,38.46721032668661,36.46051903275454
NA,Vegetables,AGE_OVERALL,MALE,Depression,76.68979436680002,77.5893049383943
NA,Vegetables,AGE_OVERALL,WHT,Depression,35.41194827259983,40.141410109935784
NA,Vegetables,5064,OVERALL,Depression,101.47872864174923,102.95970235175947
NA,Vegetables,65PLUS,BLK,Depression,16.418985752077738,35.30833009167194
NA,Vegetables,65PLUS,HIS,Depression,68.90312478513769,97.31222120583747
NA,Vegetables,5064,BLK,Depression,63.46962876661449,81.38029254752183
NA,Vegetables,AGE_OVERALL,ASN,Depression,39.85391329447908,57.53086635549607
NA,Vegetables,5064,NAA,Depression,62.94920884057254,65.57318467555938
NA,Vegetables,AGE_OVERALL,BLK,Depression,52.42980749827617,62.593673164221286
NA,Vegetables,AGE_OVERALL,BLK,Depression,52.175886508881625,61.36494792943687
NA,Vegetables,AGE_OVERALL,OVERALL,Depression,81.04187146827519,72.82544082590246
NA,Vegetables,AGE_OVERALL,BLK,Depression,95.07799756560414,111.34820414845696
NA,Vegetables,65PLUS,OVERALL,Depression,24.041191898561518,24.74975835121889
NA,Vegetables,5064,MALE,Depression,54.21280796549417,58.64036896594685
NA,Vegetables,AGE_OVERALL,FEMALE,Depression,79.2795156343936,85.10870320293142
NA,Vegetables,65PLUS,OVERALL,Depression,61.90867883770337,64.5795248122619
NA,Vegetables,5064,HIS,Depression,43.15069719337561,62.12622649692122
NA,Vegetables,5064,OVERALL,Depression,94.60928895451802,95.70616239563054
NA,Vegetables,65PLUS,HIS,Depression,57.38016581561088,84.12374397124749
NA,Vegetables,65PLUS,MALE,Depression,39.673797397728876,48.91627113446675
NA,Vegetables,5064,BLK,Depression,36.63812103573567,51.30537621049137
NA,Vegetables,65PLUS,WHT,Depression,44.030684329839666,62.42171205718056
NA,Vegetables,65PLUS,OVERALL,Depression,27.217335266205744,27.09760114580421
NA,Vegetables,65PLUS,FEMALE,Depression,66.57658889006119,83.19084338151515
NA,Vegetables,5064,FEMALE,Depression,57.25223716458076,65.92148114161584
NA,Vegetables,AGE_OVERALL,WHT,Depression,48.7639203453488,54.721375704407734
NA,Vegetables,5064,OVERALL,Depression,68.0508716273969,65.64765077154958
NA,Vegetables,5064,FEMALE,Depression,20.800642666067837,25.90368936178383
NA,Vegetables,65PLUS,HIS,Depression,40.750420483015276,67.38510133120573
NA,Vegetables,65PLUS,WHT,Depression,46.79525726880203,64.38450009602084
NA,Vegetables,65PLUS,BLK,Depression,88.11828747465555,115.10975195209687
NA,Vegetables,5064,NAA,Depression,58.41600412783132,59.833927363231055
NA,Vegetables,AGE_OVERALL,ASN,Depression,51.42361521149592,69.65006359970907
NA,Vegetables,5064,WHT,Depression,20.6560196392198,31.015219935615473
NA,Vegetables,65PLUS,HIS,Depression,32.36875360744409,58.62215370240578
NA,Vegetables,65PLUS,ASN,Depression,94.8962004962869,128.7651217408182
NA,Vegetables,5064,WHT,Depression,42.87681726945107,54.42937893666874
NA,Vegetables,5064,HIS,Depression,26.0333685076447,44.52162866665324
NA,Vegetables,5064,OVERALL,Depression,98.65486199114211,100.2956160337231
NA,Vegetables,AGE_OVERALL,FEMALE,Depression,67.44127741453994,71.2828392418451
NA,Vegetables,65PLUS,HIS,Depression,69.42585877601711,99.03269221723183
NA,Vegetables,5064,WHT,Depression,65.36025967327684,80.28094353571318
NA,Vegetables,AGE_OVERALL,MALE,Depression,70.5801917301161,71.82759569367474
NA,Vegetables,5064,BLK,Depression,48.84818110774004,62.86560816787239
NA,Vegetables,65PLUS,NAA,Depression,31.98561549815981,38.04417473861254
NA,Vegetables,65PLUS,BLK,Depression,69.77070391406541,95.78005264260531
NA,Vegetables,65PLUS,BLK,Depression,66.38759748356071,89.53060387031273
NA,Vegetables,5064,MALE,Depression,35.416395371213376,38.24843285140409
NA,Vegetables,5064,OVERALL,Depression,81.37540586826343,80.16968609484637
NA,Vegetables,5064,BLK,Depression,61.498992432664366,79.1644699255913
NA,Vegetables,5064,NAA,Depression,68.7759967167888,70.98358271569336
NA,Vegetables,5064,BLK,Depression,6.1511634034283205,19.367373517967614
NA,Vegetables,65PLUS,NAA,Depression,30.756429356287757,34.9082988962386
NA,Vegetables,AGE_OVERALL,WHT,Depression,23.01855767186145,26.156414665219188
NA,Vegetables,5064,WHT,Depression,52.80438145786553,65.17405223749478
NA,Vegetables,AGE_OVERALL,MALE,Depression,85.83765289956472,88.14107827098883
NA,Vegetables,AGE_OVERALL,ASN,Depression,55.14792300060319,74.30812409939324
NA,Vegetables,AGE_OVERALL,MALE,Depression,64.71549790594099,65.1780028483667
NA,Vegetables,65PLUS,MALE,Depression,65.51597571116133,76.62813847138574
NA,Vegetables,5064,WHT,Depression,84.8207121016681,101.71454655896036
NA,Vegetables,65PLUS,WHT,Depression,82.03656872110639,107.1892742268615
NA,Vegetables,65PLUS,OVERALL,Depression,85.34097967640881,89.61172154679299
NA,Vegetables,65PLUS,MALE,Depression,70.5896852411959,86.03980492121718
NA,Vegetables,65PLUS,MALE,Depression,39.01418123711794,48.4449358639294
NA,Vegetables,AGE_OVERALL,MALE,Depression,93.33493575282847,96.70540470484156
NA,Vegetables,5064,FEMALE,Depression,30.196167587928755,36.3633058070852
NA,Vegetables,5064,OVERALL,Depression,99.21829757797609,100.58637230131517
NA,Vegetables,5064,BLK,Depression,13.731060233318182,29.078644194797555
NA,Vegetables,65PLUS,WHT,Depression,39.19983049845041,56.229546810745
NA,Vegetables,65PLUS,FEMALE,Depression,1.9932556585635481,12.517782268381598
NA,Vegetables,AGE_OVERALL,MALE,Depression,98.06294039997242,99.36879965019232
NA,Vegetables,65PLUS,NAA,Depression,45.14379851090436,51.705429428225194
NA,Vegetables,AGE_OVERALL,ASN,Depression,32.7910529368139,48.271675514471916
NA,Vegetables,5064,FEMALE,Depression,97.72646675951259,110.51276783501554
NA,Vegetables,5064,FEMALE,Depression,53.97946205058552,63.07522461342548
NA,Vegetables,AGE_OVERALL,NAA,Depression,63.494257914592396,59.132284013409986
NA,Vegetables,AGE_OVERALL,WHT,Depression,66.16614401589555,73.8932476570419
NA,Vegetables,65PLUS,WHT,Depression,87.61911744672042,110.91879658125328
NA,Vegetables,65PLUS,NAA,Depression,24.060357924892717,26.92356584353487
